territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
la marina del prat vermell,barri,1997,36.90403407,NA,NA
la marina del prat vermell,barri,1998,37.3146507,NA,NA
la marina del prat vermell,barri,1999,37.05953333,NA,NA
la marina del prat vermell,barri,2000,37.54494812,NA,NA
la marina del prat vermell,barri,2001,37.84607431,NA,NA
la marina del prat vermell,barri,2002,38.69940433,NA,28.39262088
la marina del prat vermell,barri,2003,39.81555012,NA,30.31704317
la marina del prat vermell,barri,2004,40.76425625,NA,28.71907326
la marina del prat vermell,barri,2005,42.7389204,NA,29.40668881
la marina del prat vermell,barri,2006,43.35135752,NA,29.87582461
la marina del prat vermell,barri,2007,44.11132557,NA,31.32250272
la marina del prat vermell,barri,2008,44.29773384,NA,29.8059504
la marina del prat vermell,barri,2009,44.73855894,NA,28.37704595
la marina del prat vermell,barri,2010,44.79612007,NA,29.5229128
la marina del prat vermell,barri,2011,44.99126225,NA,29.66937341
