territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
eixample,districte,2011,9669,51,404,26363,626,6470,35416,1354,5420,52455,3662,6150,62088,8728,9316
eixample,districte,2012,8691,43,370,25374,642,6372,35528,1317,5553,54919,3688,6235,64357,9267,10117
eixample,districte,2013,8031,48,326,24226,622,5874,35087,1354,5347,54296,3878,6107,65771,10151,10593
eixample,districte,2014,7453,39,313,23271,611,5658,34719,1333,5133,53541,3934,5829,67503,10772,10256
eixample,districte,2015,6930,34,303,22584,547,5340,34534,1262,4848,53455,3898,5524,69758,10950,10177
eixample,districte,2016,4435,6,44,24261,523,5575,33360,1226,4822,53014,3851,5647,71297,11644,10944
eixample,districte,2017,3946,5,36,23050,491,5239,33074,1415,5470,52486,3971,6181,71862,12480,13274
eixample,districte,2018,3508,6,32,21752,491,5014,32838,1438,5821,51329,4002,6463,72915,13026,14326
eixample,districte,2019,3135,6,36,20546,531,5086,31452,1553,6276,50205,4440,7192,73623,14714,15721
eixample,districte,2020,2777,7,45,19382,542,5016,31800,1705,6995,49445,4651,8060,74233,15551,17085
eixample,districte,2021,2370,7,40,18447,531,4935,30819,1608,7519,49233,4432,8980,74370,14767,19173
eixample,districte,2022,2075,5,41,17645,547,4482,30508,1761,7298,48204,4590,8603,75180,16034,18831
eixample,districte,2023,1781,5,45,16735,552,4435,30276,1711,7962,46211,4460,9633,76150,16436,21121
el fort pienc,barri,1997,2570,NA,11,5500,18,57,4311,14,39,5956,39,100,5243,59,97
el fort pienc,barri,1998,2468,NA,11,5423,18,70,4292,16,42,5998,44,120,5283,69,111
el fort pienc,barri,1999,2302,NA,17,5357,17,79,4295,18,41,6037,54,149,5319,74,140
el fort pienc,barri,2000,2154,NA,22,5193,19,88,4269,18,46,6032,56,183,5390,85,167
el fort pienc,barri,2001,2045,NA,19,5053,22,196,4246,21,116,5978,69,318,5341,114,284
el fort pienc,barri,2002,1940,NA,37,4400,24,271,4466,47,262,6991,167,551,5721,173,439
el fort pienc,barri,2003,1837,NA,40,4219,30,391,4500,63,406,6926,199,754,5811,267,661
el fort pienc,barri,2004,1763,NA,46,4147,32,491,4430,72,452,6638,238,809,5877,360,809
el fort pienc,barri,2005,1661,6,53,3981,35,637,4373,86,507,6487,276,873,5963,486,989
el fort pienc,barri,2006,1582,6,52,3857,39,778,4346,120,610,6375,310,956,6207,591,1090
el fort pienc,barri,2007,1474,7,49,3725,57,723,4314,162,573,6272,421,797,6260,769,918
el fort pienc,barri,2008,1490,7,59,3608,95,1083,4334,197,753,6137,529,890,6350,937,1073
el fort pienc,barri,2009,1390,8,82,3444,121,1414,4384,209,964,6081,573,972,6458,1051,1183
el fort pienc,barri,2010,1275,10,90,3270,94,1401,4371,185,896,6197,566,936,6569,1026,1113
el fort pienc,barri,2011,1155,13,123,3183,97,1371,4417,171,816,6261,507,855,6737,1057,1074
el fort pienc,barri,2012,1032,13,91,3119,110,1133,4508,171,760,6538,522,804,7030,1135,1128
el fort pienc,barri,2013,960,13,54,2974,112,867,4406,191,673,6478,531,756,7140,1201,1136
el fort pienc,barri,2014,899,12,50,2874,120,801,4364,202,649,6405,534,737,7297,1256,1062
el fort pienc,barri,2015,852,5,49,2794,98,783,4360,176,648,6383,525,715,7584,1270,1052
el fort pienc,barri,2016,530,NA,8,3019,93,799,4274,174,673,6331,535,697,7745,1377,1161
